,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
27951,"frozenset({'F2H Fiber', 'Broadband Premium', 'Broadband Family', 'Postpaid Roaming'})",frozenset({'Postpaid Platinum'}),0.35212765957446807,0.5553191489361702,0.3180851063829787,0.9033232628398792,1.6266740748457595,0.12254187415119966,4.599667553191491
27953,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Postpaid Roaming'})","frozenset({'Broadband Premium', 'Broadband Family'})",0.3446808510638298,0.6031914893617021,0.3180851063829787,0.9228395061728395,1.529927929104884,0.1101765504753282,5.14263829787234
28038,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Premium', 'Wireless Broadband'})",frozenset({'Broadband Family'}),0.35319148936170214,0.7585106382978724,0.33404255319148934,0.9457831325301204,1.2468950134338193,0.06614305115436847,4.4541371158392336
28039,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Family', 'Wireless Broadband'})",frozenset({'Broadband Premium'}),0.3414893617021277,0.7425531914893617,0.33404255319148934,0.9781931464174454,1.3173374751180496,0.08046853779990942,11.80577507598778
28042,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Broadband Premium', 'Broadband Family'})",frozenset({'Wireless Broadband'}),0.3680851063829787,0.6202127659574468,0.33404255319148934,0.9075144508670521,1.4632308470240634,0.10575147125396106,4.106449468085109
28043,"frozenset({'Postpaid Platinum', 'F2H Fiber', 'Wireless Broadband'})","frozenset({'Broadband Premium', 'Broadband Family'})",0.3627659574468085,0.6031914893617021,0.33404255319148934,0.9208211143695014,1.5265817416355052,0.1152252150294251,5.011544523246649
28128,"frozenset({'Postpaid Roaming', 'Broadband Premium', 'Wireless Broadband', 'F2H Fiber'})",frozenset({'Broadband Family'}),0.35319148936170214,0.7585106382978724,0.33191489361702126,0.9397590361445782,1.2389530069788268,0.06401539157990038,4.0087234042553135
28129,"frozenset({'Postpaid Roaming', 'Broadband Family', 'Wireless Broadband', 'F2H Fiber'})",frozenset({'Broadband Premium'}),0.3372340425531915,0.7425531914893617,0.33191489361702126,0.9842271293375393,1.325463469308434,0.08150067904028968,16.32212765957434
28132,"frozenset({'F2H Fiber', 'Broadband Premium', 'Broadband Family', 'Postpaid Roaming'})",frozenset({'Wireless Broadband'}),0.35212765957446807,0.6202127659574468,0.33191489361702126,0.9425981873111783,1.5197981064708534,0.11352082390221821,6.6162933930571155
28133,"frozenset({'Postpaid Roaming', 'Wireless Broadband', 'F2H Fiber'})","frozenset({'Broadband Premium', 'Broadband Family'})",0.3617021276595745,0.6031914893617021,0.33191489361702126,0.9176470588235293,1.5213196389666976,0.11373924852874603,4.8183890577507515
